"RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg"
",Jaxson Hayes,Lal,*,C-F,25.6,21,16.8,10.3,12.6,29,0.621,61,0.721,1,1,0.734,0.729,5.2,4,1,0.3,0.8,0.4,9.1,6.1,10.1,6.5,148.9,109.1"
",Jarred Vanderbilt,Lal,*,F,26.7,15,17.3,13.6,30,19,0.842,36,0.5,15,0.267,0.471,0.539,4.3,5.2,1.5,0.9,0.3,1.5,9.5,5.7,10.9,7.5,103.8,104.7"
",Evan Mobley,Cle,*,C,24.5,25,34.2,22.6,13.7,139,0.64,245,0.559,108,0.352,0.55,0.576,19.1,9.3,4.1,1,1.6,2.2,28.4,23.2,32.5,10.5,117.9,109.8"
",Jaylon Tyson,Cle,*,G-F,23,21,27.8,15.9,8.9,30,0.767,99,0.596,95,0.463,0.644,0.659,13,5.4,2,1,0.7,0.9,18.4,15,20.3,7.5,133.7,106.1"
",Jarrett Allen,Cle,*,C,27.6,15,26.1,20.6,14.3,66,0.773,139,0.59,4,0,0.573,0.625,14.3,7.6,1.8,1,0.9,1.6,21.9,16.1,23.7,8.9,124,110.6"
",Sam Merrill,Cle,*,G,29.6,12,25.9,17.6,7.9,16,0.938,17,0.588,99,0.444,0.655,0.679,13.9,2.1,2.3,0.5,0.3,0.8,16,16.2,18.3,6.3,134.4,110.3"
",Donovan Mitchell,Cle,*,G,29.3,24,34.4,33.2,13.5,152,0.842,263,0.612,254,0.394,0.602,0.642,31.3,4.8,5.4,1.4,0.3,3.4,36,36.7,41.5,10.8,121.8,112"
",Dean Wade,Cle,*,F-C,29.1,24,22.2,10,5.9,25,0.72,29,0.586,83,0.289,0.473,0.504,5.2,3.8,1.6,0.8,0.5,0.3,9,6.8,10.6,5.7,120.7,109.3"
",Lonzo Ball,Cle,*,G,28.1,19,23.6,14.5,21.7,14,0.714,20,0.4,99,0.263,0.395,0.415,5.5,4.5,4.8,1.3,0.3,1.7,10,10.3,14.8,8.3,99.3,109.6"
",Craig Porter,Cle,*,G,25.8,23,16.9,12.7,15,15,0.533,63,0.571,33,0.424,0.594,0.595,5.3,3.3,2.4,1,0.6,0.7,8.6,7.7,11,8.2,129.5,110.4"
