"NAME,TEAM,POS,SALARY,2P%,2PA,3P%,3PA,AGE,ApG,BpG,DRtg,FT%,FTA,GP,MpG,ORtg,P+A,P+R,P+R+A,PpG,RpG,SpG,TO%,TOpG,TS%,USG%,VI,eFG%,PERFORMANCE,EFFICIENCY,PERF_Z,LOG_SALARY,EXPECTED_SALARY,VALUE"
"James Harden,LAC,G,39182693,0.529,189.0,0.368,231.0,36.3,8.2,0.4,116.6,0.897,204.0,24.0,35.6,120.9,34.8,31.9,40.1,26.6,5.3,1.3,18.4,4.0,0.626,31.1,11.8,0.542,39.412,1.006,2.595,17.483745702166576,37000220.925,2182472.075"
"Scottie Barnes,TOR,F-G,38661750,0.538,299.0,0.383,94.0,24.4,5.3,1.6,106.9,0.847,98.0,26.0,33.9,118.3,25.0,27.6,32.8,19.7,7.8,1.4,13.8,2.4,0.588,24.0,11.0,0.547,38.813,1.004,2.54,17.47036129714521,35690637.046,2971112.954"
"Franz Wagner,ORL,F,38661750,0.535,282.0,0.36,100.0,24.3,3.7,0.4,108.2,0.823,164.0,24.0,33.4,123.2,26.4,28.8,32.5,22.7,6.1,1.2,10.1,1.8,0.6,25.9,9.6,0.537,34.33,0.888,2.122,17.47036129714521,27243058.151,11418691.849"
"Shai Gilgeous-Alexander,OKC,G,38333050,0.599,342.0,0.454,119.0,27.4,6.5,0.7,103.3,0.882,238.0,24.0,33.1,139.9,39.1,37.2,43.7,32.6,4.6,1.5,8.5,1.8,0.691,33.2,12.0,0.62,47.071,1.228,3.309,17.46182300632775,58692815.149,-20359765.149"
"Michael Porter Jr.,BRK,F,38333050,0.593,194.0,0.403,181.0,27.5,3.2,0.3,114.5,0.819,94.0,20.0,32.9,120.0,29.5,33.7,36.9,26.3,7.4,0.9,10.7,2.3,0.632,30.1,10.4,0.599,29.155,0.761,1.64,17.46182300632775,19947714.145,18385335.855"
"Brandon Ingram,TOR,F,38095238,0.523,325.0,0.331,118.0,28.3,3.8,0.5,112.2,0.805,128.0,26.0,34.1,105.1,25.3,27.4,31.2,21.5,5.8,0.9,15.4,3.1,0.561,27.7,9.1,0.516,31.377,0.824,1.847,17.455599845408777,22804421.837,15290816.163"
"Tyrese Maxey,PHI,G,37958760,0.519,312.0,0.391,215.0,25.1,7.2,0.9,112.2,0.881,168.0,23.0,39.9,123.0,38.7,36.2,43.4,31.5,4.7,1.7,10.5,2.7,0.602,30.3,10.2,0.546,49.648,1.308,3.549,17.452010865208283,68548260.115,-30589500.115"
"LaMelo Ball,CHO,G,37958760,0.486,140.0,0.285,137.0,24.3,8.5,0.2,108.8,0.877,65.0,16.0,28.9,109.6,27.9,25.4,33.9,19.4,6.0,1.2,16.0,3.3,0.507,32.6,13.8,0.457,18.062,0.476,0.606,17.452010865208283,10225815.668,27732944.332"
"De'Aaron Fox,SAS,G,37096620,0.543,173.0,0.388,103.0,28.0,6.3,0.3,111.2,0.844,90.0,16.0,32.7,118.0,30.3,27.8,34.1,24.0,3.8,1.4,16.3,3.4,0.608,29.8,10.2,0.558,21.713,0.585,0.946,17.429036418306048,12740751.764,24355868.236"
"Bam Adebayo,MIA,C-F,37096620,0.55,180.0,0.34,94.0,28.4,2.5,0.9,108.7,0.795,88.0,19.0,30.8,114.2,21.7,28.1,30.6,19.2,8.9,1.0,10.7,1.7,0.582,24.1,9.8,0.536,23.147,0.624,1.08,17.429036418306048,13890749.597,23205870.403"
"Desmond Bane,ORL,G,36725670,0.498,253.0,0.349,129.0,27.5,4.5,0.3,107.5,0.936,94.0,25.0,33.2,116.0,23.5,23.4,28.0,19.0,4.4,0.8,11.8,2.0,0.561,23.8,8.7,0.507,30.085,0.819,1.726,17.418986523561,21097176.028,15628493.972"
"Kyrie Irving,DAL,INACTIVE,36566002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,17.414629459566203,3444933.285,33121068.715"
"Deandre Ayton,POR,C,43654814,0.7,220.0,0.0,0.0,27.4,0.9,1.0,108.9,0.667,36.0,22.0,29.3,127.7,16.0,23.9,24.8,15.1,8.8,0.7,16.0,1.9,0.704,18.7,6.7,0.7,23.242,0.532,1.088,17.591824120537634,13970153.132,29684660.868"
"Jaren Jackson Jr.,MEM,F-C,35000000,0.537,203.0,0.324,105.0,26.2,1.9,1.0,102.8,0.767,86.0,23.0,29.2,105.3,18.7,21.8,23.7,16.8,5.0,0.8,13.0,2.0,0.558,24.2,7.4,0.519,21.403,0.612,0.917,17.37085861945369,12505450.182,22494549.818"
"Jalen Suggs,ORL,G,35000000,0.606,104.0,0.333,120.0,24.5,4.7,0.6,100.4,0.881,59.0,20.0,25.4,112.0,19.6,18.7,23.4,14.9,3.8,2.0,19.7,2.8,0.596,25.0,10.1,0.549,17.196,0.491,0.525,17.37085861945369,9705769.423,25294230.577"
"Rudy Gobert,MIN,C,35000000,0.745,161.0,0.0,0.0,33.5,1.8,1.4,106.4,0.543,94.0,25.0,31.5,140.6,13.5,21.9,23.7,11.6,10.2,0.5,18.3,1.4,0.719,12.9,7.6,0.745,30.323,0.866,1.748,17.37085861945369,21400935.425,13599064.575"
"Jalen Brunson,NYK,G,34944001,0.54,291.0,0.376,165.0,29.3,6.3,0.1,113.0,0.848,145.0,22.0,34.9,125.4,34.6,31.4,37.7,28.3,3.1,0.7,10.1,2.3,0.599,31.2,9.4,0.548,35.553,1.017,2.236,17.36925736670393,29326804.55,5617196.45"
"Alperen Sengun,HOU,C,33944954,0.524,286.0,0.364,55.0,23.4,7.0,1.0,104.3,0.735,136.0,20.0,35.9,122.8,30.0,32.4,39.4,23.0,9.4,1.5,16.4,3.4,0.574,26.8,12.8,0.528,34.669,1.021,2.153,17.340250770583662,27806526.547,6138427.453"
"Jalen Green,PHO,G,33584499,0.556,9.0,0.429,14.0,23.8,2.0,0.0,113.3,0.6,5.0,2.0,14.9,122.2,17.5,17.5,19.5,15.5,2.0,1.0,7.9,1.0,0.615,38.2,10.6,0.609,0.92,0.027,-0.992,17.32957517919801,3641130.759,29943368.241"
"Khris Middleton,WAS,F,33296296,0.552,96.0,0.35,40.0,34.3,3.5,0.4,117.8,0.731,26.0,16.0,25.8,111.2,13.9,14.6,18.1,10.4,4.2,0.7,17.5,1.8,0.566,17.9,8.3,0.544,10.531,0.316,-0.096,17.320956717532788,6496563.705,26799732.295"
"Immanuel Quickley,TOR,G,32500000,0.564,156.0,0.382,165.0,26.5,6.2,0.0,111.8,0.75,64.0,25.0,32.2,119.7,22.7,20.8,27.0,16.5,4.2,1.2,12.0,1.8,0.591,20.7,9.4,0.569,29.569,0.91,1.678,17.296750647299966,20451682.86,12048317.14"
"Jrue Holiday,POR,G,32400000,0.531,81.0,0.365,85.0,35.5,8.2,0.3,115.8,0.84,25.0,12.0,33.4,118.0,24.8,21.9,30.1,16.7,5.3,1.6,17.4,2.9,0.565,21.0,10.8,0.539,15.408,0.476,0.358,17.293668980762558,8714880.299,23685119.701"
"Jerami Grant,POR,F,32000001,0.471,174.0,0.382,144.0,31.8,2.6,0.6,113.4,0.86,157.0,24.0,29.8,120.3,21.9,23.2,25.8,19.3,3.9,0.8,13.6,2.1,0.599,24.3,7.8,0.517,24.756,0.774,1.229,17.281246492014,15303676.741,16696324.259"
"Jordan Poole,NOP,G,31848215,0.417,48.0,0.329,70.0,26.5,3.4,0.4,121.0,0.971,35.0,8.0,29.8,108.9,21.3,19.5,22.9,17.9,1.6,0.4,11.9,2.0,0.536,26.2,6.2,0.462,6.808,0.214,-0.443,17.27649189445588,5191206.667,26657008.333"
"Tyler Herro,MIA,G,31000000,0.565,62.0,0.405,37.0,25.9,2.3,0.5,111.6,0.923,26.0,6.0,31.8,122.0,25.5,28.2,30.5,23.2,5.0,1.0,6.6,1.2,0.629,25.1,8.1,0.581,7.94,0.256,-0.338,17.24949776244942,5557590.752,25442409.248"
"Julius Randle,MIN,F-C,30864198,0.567,261.0,0.355,124.0,31.0,5.9,0.2,109.6,0.836,177.0,25.0,33.7,124.9,29.0,30.2,36.1,23.0,7.2,0.9,15.2,2.8,0.622,26.8,11.8,0.556,36.992,1.199,2.37,17.245107429348128,31981186.008,-1116988.008"
"Dejounte Murray,NOP,INACTIVE,30801103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,17.243061058990893,3444933.285,27356169.715"
"Kristaps Porzingis,ATL,F-C,30731707,0.584,101.0,0.364,66.0,30.4,3.1,1.6,106.1,0.855,69.0,13.0,25.9,130.8,22.2,24.8,27.8,19.2,5.6,0.5,6.7,0.9,0.631,26.2,10.7,0.569,14.359,0.467,0.261,17.240805480888028,8181180.045,22550526.955"
"CJ McCollum,WAS,G,30666666,0.486,177.0,0.399,173.0,34.2,3.5,0.3,123.5,0.781,73.0,23.0,30.3,113.7,22.4,22.0,25.5,19.0,3.1,0.7,9.6,1.6,0.571,25.2,7.8,0.541,22.977,0.749,1.064,17.238686824606074,13749254.175,16917411.825"
"Jalen Johnson,ATL,F,30000000,0.574,272.0,0.389,95.0,24.0,8.0,0.3,109.2,0.81,137.0,23.0,35.1,121.4,31.3,33.7,41.7,23.2,10.5,1.6,17.5,3.4,0.625,26.4,14.2,0.576,39.625,1.321,2.615,17.216707939626428,37478744.917,-7478744.917"
"Isaiah Hartenstein,OKC,C-F,28500000,0.69,145.0,0.0,4.0,27.6,3.4,0.8,94.0,0.64,50.0,19.0,27.8,133.1,15.6,22.9,26.3,12.2,10.7,1.3,20.7,2.1,0.678,17.2,11.0,0.671,21.119,0.741,0.891,17.16541464523888,12293380.811,16206619.189"
"Andrew Wiggins,MIA,F,28223215,0.543,197.0,0.379,103.0,30.8,2.9,1.1,109.8,0.702,57.0,22.0,32.9,111.1,19.8,21.8,24.7,16.9,4.9,1.0,11.8,1.8,0.571,20.6,7.6,0.552,24.872,0.881,1.24,17.155655424193245,15411237.432,12811977.568"
