"NAME,TEAM,POS,SALARY,2P%,2PA,3P%,3PA,AGE,ApG,BpG,DRtg,FT%,FTA,GP,MpG,ORtg,P+A,P+R,P+R+A,PpG,RpG,SpG,TO%,TOpG,TS%,USG%,VI,eFG%,PERFORMANCE,EFFICIENCY,PERF_Z,LOG_SALARY,EXPECTED_SALARY,VALUE"
"Lonzo Ball,CLE,G,10000000,0.4,20.0,0.263,99.0,28.1,4.8,0.3,109.6,0.714,14.0,19.0,23.6,99.3,10.3,10.0,14.8,5.5,4.5,1.3,21.7,1.7,0.415,14.5,8.3,0.395,9.617,0.962,-0.181,16.11809565095832,6148526.472,3851473.528"
"Duncan Robinson,MIA,F,26722692,0.581,43.0,0.405,173.0,31.6,2.0,0.3,110.5,0.778,36.0,23.0,31.3,127.8,14.5,15.6,17.6,12.5,3.0,1.0,7.3,0.7,0.621,14.1,5.4,0.602,22.299,0.834,1.001,17.101023650060924,13198379.402,13524312.598"
"Amen Thompson,HOU,G-F,9690600,0.536,263.0,0.191,47.0,22.9,5.2,0.5,109.0,0.809,94.0,22.0,36.2,119.7,22.7,24.6,29.9,17.5,7.1,1.4,15.5,2.6,0.548,21.1,9.6,0.498,30.559,3.154,1.77,16.08666690145466,21708324.427,-12017724.427"
"Caleb Martin,DAL,F,9594044,0.292,24.0,0.154,13.0,30.2,0.9,0.1,98.6,0.875,8.0,22.0,9.1,89.0,2.1,2.7,3.6,1.2,1.5,0.5,17.6,0.4,0.333,10.2,5.2,0.27,1.952,0.203,-0.896,16.07665304723334,3874774.007,5719269.993"
"Stephon Castle,SAS,G,9560520,0.6,125.0,0.276,58.0,21.1,7.3,0.3,104.5,0.716,102.0,15.0,31.0,115.3,25.4,24.1,31.4,18.1,6.0,1.5,24.0,3.9,0.595,25.9,11.9,0.541,17.68,1.849,0.57,16.073152676853763,9993151.174,-432631.174"
"Pat Connaughton,CHO,G,9423869,0.692,13.0,0.375,24.0,32.9,0.6,0.1,115.5,0.667,9.0,12.0,9.7,127.0,4.8,6.2,6.8,4.3,1.9,0.4,7.4,0.3,0.623,15.9,7.0,0.608,2.243,0.238,-0.869,16.058756284097772,3943196.987,5480672.013"
"Buddy Hield,GSW,G,9219512,0.585,65.0,0.311,122.0,33.0,1.7,0.1,109.2,0.944,18.0,26.0,18.9,105.0,9.6,10.6,12.2,8.0,2.6,0.9,13.0,1.1,0.531,19.2,6.9,0.508,10.154,1.101,-0.131,16.036832665715533,6350722.948,2868789.052"
"Kyle Anderson,UTA,F-G,9219512,0.523,44.0,1.0,1.0,32.2,3.3,0.4,109.0,0.733,15.0,8.0,18.3,124.8,10.8,10.3,13.5,7.5,2.8,1.5,13.4,0.9,0.581,16.4,9.0,0.544,4.036,0.438,-0.701,16.036832665715533,4393091.479,4826420.521"
"Bennedict Mathurin,IND,G-F,9187573,0.476,105.0,0.422,90.0,23.5,2.3,0.2,111.8,0.837,86.0,14.0,32.6,112.0,22.7,26.0,28.3,20.4,5.6,0.7,16.6,2.8,0.614,24.8,7.9,0.549,15.278,1.663,0.346,16.033362368049893,8646653.513,540919.487"
"Ace Bailey,UTA,F,9069840,0.513,119.0,0.354,99.0,19.3,1.7,0.4,115.3,0.773,22.0,24.0,23.6,105.7,11.8,13.5,15.1,10.2,3.3,0.8,13.1,1.4,0.536,18.8,6.5,0.521,12.868,1.419,0.122,16.020465181362404,7478566.59,1591273.41"
"Naji Marshall,DAL,F,9000000,0.649,134.0,0.313,80.0,27.9,2.6,0.1,109.0,0.804,102.0,26.0,27.7,126.8,15.3,17.5,20.1,12.7,4.8,1.2,11.9,1.1,0.639,16.9,7.8,0.582,23.398,2.6,1.103,16.012735135300492,14101886.874,-5101886.874"
"Jalen Smith,CHI,F-C,9000000,0.582,67.0,0.375,80.0,25.7,1.2,0.7,108.6,0.739,23.0,19.0,17.0,119.2,10.9,15.8,17.0,9.7,6.1,0.3,10.9,0.9,0.589,22.5,9.7,0.571,8.864,0.985,-0.251,16.012735135300492,5875785.601,3124214.399"
"Ty Jerome,MEM,INACTIVE,8781000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,15.988100854342132,3444933.285,5336066.715"
"Ausar Thompson,DET,G-F,8775000,0.538,182.0,0.313,16.0,22.9,3.0,0.7,104.9,0.561,66.0,21.0,27.6,115.4,14.8,17.8,20.8,11.8,6.0,1.5,13.5,1.5,0.546,18.2,8.6,0.533,18.595,2.119,0.655,15.987417327316203,10559133.607,-1784133.607"
"Brook Lopez,LAC,C,8750000,0.469,32.0,0.353,68.0,37.7,0.5,0.8,111.0,0.727,11.0,19.0,14.1,97.1,6.3,7.5,8.0,5.8,1.7,0.3,12.2,0.7,0.525,19.5,4.8,0.51,4.31,0.493,-0.676,15.984564258333798,4466152.847,4283847.153"
"Quentin Grimes,PHI,G,8741209,0.545,121.0,0.367,147.0,25.6,4.3,0.4,112.8,0.86,93.0,23.0,33.2,115.2,20.6,20.5,24.9,16.3,4.3,0.9,18.3,2.6,0.605,20.3,8.1,0.549,24.674,2.823,1.222,15.983559067584522,15228538.163,-6487329.163"
"Ronald Holland II,DET,F,8657280,0.5,112.0,0.265,68.0,20.4,1.6,0.2,103.4,0.809,47.0,25.0,21.2,102.2,9.8,11.5,13.2,8.2,3.4,1.6,16.6,1.4,0.508,18.2,6.7,0.461,11.758,1.358,0.018,15.973911143442912,6994658.419,1662621.581"
"Sam Merrill,CLE,G,8482144,0.588,17.0,0.444,99.0,29.6,2.3,0.3,110.3,0.938,16.0,12.0,25.9,134.4,16.2,16.0,18.3,13.9,2.1,0.5,7.9,0.8,0.679,17.6,6.3,0.655,10.032,1.183,-0.143,15.953473806000599,6304062.02,2178081.98"
"Jaylin Williams,OKC,F,8450704,0.65,20.0,0.293,99.0,23.5,2.5,0.5,95.5,0.643,28.0,24.0,18.6,105.8,8.0,10.3,12.8,5.5,4.8,0.7,17.3,1.0,0.499,15.2,8.7,0.475,10.093,1.194,-0.137,15.949760309472438,6327229.003,2123474.997"
"Shaedon Sharpe,POR,G,8399983,0.53,236.0,0.283,127.0,22.5,2.3,0.2,113.3,0.78,109.0,21.0,28.3,104.8,23.4,25.8,28.0,21.1,4.7,1.3,14.0,2.8,0.539,31.4,8.6,0.493,19.522,2.324,0.742,15.94374024000197,11165549.187,-2765566.187"
"Kelly Oubre Jr.,PHI,F-G,8382150,0.622,82.0,0.343,67.0,30.0,1.3,0.8,110.8,0.789,38.0,12.0,34.8,116.9,18.1,21.8,23.2,16.8,5.1,1.1,10.8,1.5,0.606,18.4,5.5,0.574,14.098,1.682,0.236,15.941615002797368,8053370.013,328779.987"
"Goga Bitadze,ORL,C-F,8333333,0.773,75.0,0.286,7.0,26.4,1.4,1.3,99.9,0.789,38.0,24.0,16.9,151.0,7.8,11.5,13.0,6.3,5.2,0.6,16.3,0.7,0.77,11.8,8.5,0.744,13.303,1.596,0.162,15.935774054164364,7677203.575,656129.425"
"Simone Fontecchio,MIA,F,8307692,0.509,53.0,0.37,135.0,30.0,1.6,0.2,107.7,0.821,39.0,24.0,18.6,110.8,11.4,12.8,14.3,9.8,2.9,0.5,10.9,1.0,0.575,20.8,7.7,0.543,10.472,1.261,-0.102,15.932692390589919,6473545.724,1834146.276"
"Tre Johnson,WAS,G,8237640,0.493,73.0,0.38,79.0,19.8,1.3,0.4,122.9,0.8,20.0,16.0,23.8,101.2,12.4,14.0,15.3,11.1,2.9,0.4,14.1,1.6,0.553,20.4,5.8,0.533,7.77,0.943,-0.353,15.924224453096127,5501004.22,2736635.78"
"Georges Niang,UTA,INACTIVE,8200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,15.919644712234481,3444933.285,4755066.715"
"Zeke Nnaji,DEN,F-C,8177778,0.818,11.0,0.273,11.0,24.9,0.2,0.2,103.2,0.714,7.0,14.0,8.3,107.0,2.5,3.8,4.0,2.3,1.5,0.3,23.9,0.5,0.638,11.8,4.3,0.614,1.693,0.207,-0.92,15.916931033536798,3814823.373,4362954.627"
"Vasilije Micic,MIL,INACTIVE,8109150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,15.908503611720834,3444933.285,4664216.715"
"Deandre Ayton,LAL,C,43654814,0.7,220.0,0.0,0.0,27.4,0.9,1.0,108.9,0.667,36.0,22.0,29.3,127.7,16.0,23.9,24.8,15.1,8.8,0.7,16.0,1.9,0.704,18.7,6.7,0.7,23.242,0.532,1.088,17.591824120537634,13970153.132,29684660.868"
"Tre Mann,CHO,G,8000000,0.424,85.0,0.303,89.0,24.9,2.7,0.1,111.5,0.923,13.0,18.0,20.6,93.1,11.8,11.9,14.6,9.2,2.8,0.6,16.3,1.9,0.459,24.3,8.0,0.44,6.845,0.856,-0.44,15.89495209964411,5202884.042,2797115.958"
"Tre Jones,CHI,G,8000000,0.566,122.0,0.296,27.0,25.9,4.9,0.2,116.6,0.852,81.0,18.0,28.4,126.5,17.7,16.0,20.9,12.8,3.2,1.6,16.3,1.6,0.626,17.4,8.2,0.544,16.883,2.11,0.496,15.89495209964411,9524491.519,-1524491.519"
"Kevon Looney,NOP,F,8000000,0.5,26.0,0.143,7.0,29.8,1.4,0.4,107.5,0.5,6.0,12.0,12.9,116.1,4.1,6.6,8.0,2.7,3.9,0.3,15.3,0.5,0.449,11.2,7.6,0.439,2.77,0.346,-0.819,15.89495209964411,4070574.315,3929425.685"
"Jock Landale,HOU,C,10296274,0.569,137.0,0.435,62.0,30.1,1.5,0.4,104.5,0.673,49.0,25.0,21.6,122.5,12.3,16.3,17.8,10.8,5.5,0.5,11.9,1.1,0.612,19.0,8.3,0.595,15.598,1.515,0.376,16.147292640180613,8815035.488,1481238.512"
"Anthony Black,ORL,G,7970280,0.517,176.0,0.303,89.0,21.9,3.2,0.6,106.1,0.692,91.0,25.0,28.2,104.4,16.3,16.9,20.2,13.0,3.9,1.3,16.7,2.1,0.534,21.2,7.7,0.496,19.887,2.495,0.776,15.891230181893333,11414093.961,-3443813.961"
"Tidjane Salaun,CHO,F,7863240,0.526,19.0,0.5,30.0,20.3,0.8,0.2,109.1,0.733,15.0,12.0,14.9,130.4,7.2,10.0,10.8,6.3,3.7,0.6,12.4,0.6,0.683,14.7,7.1,0.663,4.367,0.555,-0.671,15.877709293209104,4481480.564,3381759.436"
"Max Christie,DAL,G,7714286,0.513,78.0,0.465,142.0,22.8,1.9,0.5,113.4,0.825,40.0,26.0,29.1,118.9,13.9,15.3,17.2,12.0,3.3,0.5,12.0,1.2,0.654,14.9,5.8,0.632,21.014,2.724,0.881,15.858584492510271,12215613.648,-4501327.648"
"Dyson Daniels,ATL,G,7707709,0.541,220.0,0.143,42.0,22.7,5.8,0.3,111.5,0.652,46.0,26.0,33.9,109.4,16.8,17.3,23.1,11.0,6.3,2.1,18.9,2.3,0.507,16.4,8.7,0.489,27.996,3.632,1.531,15.85773155481982,18602290.512,-10894581.512"
"Isaiah Jackson,IND,F,7600000,0.591,127.0,0.0,0.0,23.9,0.8,0.8,101.2,0.768,56.0,25.0,18.6,123.7,8.6,13.5,14.3,7.7,5.8,0.8,19.1,1.2,0.636,16.2,7.1,0.591,12.586,1.656,0.095,15.84365880525656,7352517.951,247482.049"
"Jeremiah Fears,NOP,G,7520040,0.471,257.0,0.365,85.0,19.2,3.1,0.2,118.2,0.8,85.0,26.0,27.6,103.5,18.6,19.0,22.1,15.5,3.5,1.4,14.7,2.3,0.531,25.5,8.0,0.49,20.019,2.662,0.788,15.833082015060812,11504735.579,-3984695.579"
"Ayo Dosunmu,CHI,G,7518518,0.546,130.0,0.475,80.0,25.9,3.2,0.3,118.1,0.857,56.0,20.0,27.8,123.8,18.4,17.9,21.1,15.2,2.7,0.6,11.7,1.4,0.648,19.6,7.3,0.61,17.494,2.327,0.553,15.832879602036213,9881432.05,-2362914.05"
"Bilal Coulibaly,WAS,G,7275600,0.46,50.0,0.268,41.0,21.4,3.0,1.0,118.3,0.771,35.0,12.0,27.1,99.1,11.8,12.8,15.8,8.8,4.0,1.3,19.4,1.8,0.498,16.5,7.0,0.434,7.48,1.028,-0.38,15.800036841847822,5405759.405,1869840.595"
"Payton Pritchard,BOS,G,7232143,0.588,148.0,0.337,202.0,27.9,5.0,0.1,117.4,0.86,50.0,25.0,32.3,126.2,21.9,21.1,26.2,16.8,4.3,0.7,7.9,1.2,0.566,21.4,8.8,0.54,29.283,4.049,1.651,15.79404595408875,20101801.484,-12869658.484"
"Donovan Clingan,POR,C,7178400,0.609,110.0,0.241,58.0,21.8,1.7,1.4,109.5,0.81,42.0,21.0,25.2,132.3,11.7,20.2,21.9,10.0,10.2,0.6,9.2,0.8,0.563,15.3,8.9,0.524,18.571,2.587,0.653,15.786587074965984,10544311.536,-3365911.536"
"Kenrich Williams,OKC,G-F,7163000,0.529,17.0,0.467,15.0,31.0,2.0,0.0,102.7,0.5,6.0,7.0,16.0,117.7,8.0,8.9,10.9,6.0,2.9,0.0,15.7,0.9,0.606,15.7,8.2,0.609,2.35,0.328,-0.859,15.784439445596588,3968893.166,3194106.834"
"Jeremy Sochan,SAS,F,7096231,0.607,61.0,0.28,25.0,22.6,1.4,0.2,102.6,0.688,16.0,17.0,16.3,117.2,7.6,9.8,11.2,6.2,3.6,0.5,14.8,0.9,0.57,16.5,7.7,0.552,6.074,0.856,-0.512,15.775074355992993,4966692.763,2129538.237"
"Tyus Jones,ORL,G,7000000,0.444,27.0,0.268,41.0,29.6,2.1,0.1,112.9,1.0,2.0,25.0,14.1,108.7,4.4,3.2,5.3,2.4,0.8,0.6,11.6,0.4,0.428,9.2,4.5,0.419,5.094,0.728,-0.603,15.761420707019587,4682061.95,2317938.05"
"Egor Dmin,BRK,INACTIVE,6889200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,15.745465525943729,3444933.285,3444266.715"
"Jevon Carter,CHI,G,6809524,0.368,19.0,0.421,57.0,30.2,1.2,0.0,115.2,1.0,10.0,14.0,14.3,117.6,8.1,8.3,9.5,6.9,1.4,0.8,9.5,0.6,0.597,18.4,6.3,0.566,4.097,0.602,-0.696,15.733832778472786,4409155.237,2400368.763"
"Clint Capela,HOU,C,6700000,0.565,62.0,0.0,0.0,31.6,0.4,0.8,105.3,0.667,15.0,21.0,11.7,133.9,4.2,8.6,9.0,3.8,4.8,0.4,13.8,0.5,0.583,13.2,6.6,0.565,5.743,0.857,-0.542,15.717618084361195,4868901.788,1831098.212"
"Ousmane Dieng,OKC,F,6670882,0.448,29.0,0.438,32.0,22.6,0.9,0.3,103.1,1.0,6.0,17.0,12.5,118.9,5.2,6.1,7.0,4.4,1.8,0.1,8.9,0.4,0.581,14.1,6.2,0.557,4.01,0.601,-0.704,15.713262643032735,4386244.893,2284637.107"
"Jarace Walker,IND,F,6665520,0.383,107.0,0.313,115.0,22.3,2.1,0.4,113.5,0.817,60.0,25.0,25.7,92.5,11.7,14.5,16.6,9.6,5.0,0.6,18.1,2.0,0.481,19.3,7.2,0.428,12.859,1.929,0.121,15.712458528056459,7474270.301,-808750.301"
"Dean Wade,CLE,F-C,6623456,0.586,29.0,0.289,83.0,29.1,1.6,0.5,109.3,0.72,25.0,24.0,22.2,120.7,6.8,9.0,10.6,5.2,3.8,0.8,5.9,0.3,0.504,10.0,5.7,0.473,12.196,1.841,0.059,15.706127846070876,7181909.147,-558453.147"
"Jalen Williams,OKC,G-F,6580997,0.514,70.0,0.286,14.0,24.7,6.2,0.8,101.1,1.0,20.0,6.0,28.0,119.8,23.5,22.5,28.7,17.3,5.2,1.2,9.6,1.5,0.56,26.2,11.8,0.5,6.892,1.047,-0.435,15.69969681158038,5217787.04,1363209.96"
"Rob Dillingham,MIN,G,6576120,0.378,74.0,0.273,22.0,20.9,1.9,0.1,107.3,0.692,13.0,22.0,10.4,87.8,5.6,4.9,6.7,3.8,1.1,0.7,18.6,1.0,0.408,22.9,7.7,0.385,2.775,0.422,-0.819,15.69895546372684,4071587.753,2504532.247"
"Jalen Duren,DET,C,6483144,0.652,230.0,0.0,0.0,22.1,1.8,1.0,101.4,0.747,146.0,22.0,29.0,130.9,20.4,29.9,31.7,18.6,11.3,0.7,19.3,2.5,0.695,22.4,10.0,0.652,26.923,4.153,1.432,15.684716135849369,17438474.353,-10955330.353"
"Ochai Agbaji,TOR,G,6383525,0.523,44.0,0.095,21.0,25.6,0.7,0.3,105.6,0.769,13.0,18.0,14.6,100.0,4.2,5.5,6.2,3.4,2.1,0.4,7.1,0.3,0.438,12.2,4.7,0.4,3.787,0.593,-0.725,15.669231010581706,4327688.157,2055836.843"
"Collin Murray-Boyles,TOR,F,6332520,0.577,78.0,0.48,25.0,20.5,1.3,0.3,105.9,0.625,32.0,21.0,17.6,118.5,8.3,10.2,11.6,7.0,3.3,0.6,19.5,1.2,0.624,16.3,7.1,0.612,8.32,1.314,-0.302,15.661208819163283,5686406.402,646113.598"
"Mark Williams,PHO,C,6276531,0.648,162.0,1.0,1.0,24.0,1.1,0.8,105.0,0.759,79.0,21.0,24.8,140.2,14.1,21.4,22.5,13.0,8.4,1.4,11.9,1.0,0.69,17.6,8.0,0.653,20.097,3.202,0.795,15.652327997286596,11559188.622,-5282657.622"
"Day'Ron Sharpe,BRK,C,6250000,0.663,80.0,0.278,18.0,24.1,1.8,0.6,105.4,0.619,63.0,23.0,16.1,115.1,8.8,12.3,14.2,7.0,5.4,0.8,29.4,1.8,0.636,19.4,10.1,0.617,8.943,1.431,-0.244,15.648092021712584,5903705.04,346294.96"
"Ziaire Williams,BRK,F,6250000,0.636,44.0,0.299,117.0,24.3,0.7,0.4,114.3,0.829,41.0,21.0,23.0,105.4,10.0,12.0,12.7,9.3,2.7,0.8,12.0,1.0,0.545,17.8,4.5,0.5,10.152,1.624,-0.131,15.648092021712584,6349864.988,-99864.988"
"John Konchar,MEM,G,6165000,0.739,23.0,0.321,28.0,29.7,1.2,0.3,107.4,0.667,9.0,22.0,13.0,128.9,4.3,5.7,7.0,3.0,2.7,0.9,12.0,0.3,0.61,9.0,6.6,0.598,6.186,1.003,-0.501,15.634398694580582,5000340.926,1164659.074"
"Taylor Hendricks,UTA,F,6127080,0.467,30.0,0.333,27.0,22.1,0.5,0.3,121.4,0.733,15.0,13.0,14.5,114.4,5.6,8.7,9.2,5.1,3.6,0.4,9.5,0.5,0.519,15.1,5.8,0.482,3.366,0.549,-0.764,15.628228848583543,4219190.044,1907889.956"
"Saddiq Bey,NOP,G-F,6118644,0.539,154.0,0.346,130.0,26.7,2.3,0.1,122.3,0.76,75.0,25.0,29.3,124.5,16.6,20.3,22.6,14.3,6.0,0.9,5.3,0.6,0.565,19.0,7.9,0.53,24.042,3.929,1.163,15.626851061311102,14660224.925,-8541580.925"
"Zach Edey,MEM,C,6045000,0.656,93.0,0.2,5.0,23.6,1.1,1.9,99.9,0.781,32.0,11.0,25.8,120.0,14.7,24.7,25.8,13.6,11.1,0.6,20.9,2.4,0.669,20.2,8.5,0.638,10.37,1.715,-0.111,15.61474204203103,6433812.9,-388812.9"
"Khaman Maluach,PHO,C,6016080,0.556,9.0,0.0,4.0,19.2,0.2,0.3,102.2,0.875,8.0,12.0,4.9,92.1,1.6,2.4,2.6,1.4,1.0,0.0,27.2,0.4,0.515,15.3,5.3,0.385,0.564,0.094,-1.025,15.609946442395737,3563973.241,2452106.759"
"Jake LaRavia,LAL,F,6000000,0.559,93.0,0.329,70.0,24.1,1.8,0.3,110.8,0.689,45.0,24.0,24.5,113.4,10.3,12.2,13.9,8.5,3.7,1.2,13.7,1.1,0.558,15.4,6.3,0.531,14.32,2.387,0.257,15.60727002719233,8161862.743,-2161862.743"
"Jaden Hardy,DAL,G,6000000,0.371,35.0,0.417,60.0,23.4,0.5,0.1,109.3,0.818,22.0,20.0,10.5,102.1,6.4,7.1,7.6,6.0,1.2,0.2,13.6,0.8,0.568,24.1,5.8,0.532,3.221,0.537,-0.777,15.60727002719233,4182636.666,1817363.334"
"Cam Thomas,BRK,G,5993172,0.425,87.0,0.356,45.0,24.2,2.6,0.1,119.9,0.873,55.0,8.0,28.3,108.5,23.9,22.6,25.3,21.3,1.4,0.5,10.8,2.0,0.544,32.6,6.0,0.462,6.895,1.15,-0.435,15.606131379178656,5218567.308,774604.692"
"Cason Wallace,OKC,G,5820240,0.526,78.0,0.381,97.0,22.1,2.5,0.3,100.2,0.769,13.0,24.0,27.8,113.3,10.9,11.5,14.0,8.5,3.1,2.3,12.5,1.0,0.562,13.4,5.8,0.551,18.76,3.223,0.671,15.576852055970797,10664690.258,-4844450.258"
"Cody Williams,UTA,F,5742480,0.524,21.0,0.105,19.0,21.1,0.5,0.2,115.1,0.333,3.0,13.0,12.1,76.5,2.7,3.2,3.6,2.2,0.9,0.2,11.1,0.4,0.351,12.0,3.3,0.35,1.007,0.175,-0.984,15.563401730735668,3660324.202,2082155.798"
"Cedric Coward,MEM,G,5715120,0.56,150.0,0.325,114.0,22.3,2.8,0.3,108.9,0.841,69.0,25.0,27.2,115.3,16.3,19.9,22.7,13.5,6.4,0.6,12.3,1.5,0.572,20.2,9.2,0.528,21.078,3.688,0.887,15.558625852365934,12263118.279,-6547998.279"
"Al Horford,GSW,C-F,5685000,0.364,22.0,0.298,57.0,39.5,2.0,1.0,107.8,1.0,6.0,13.0,21.5,94.7,7.6,10.0,12.0,5.6,4.4,1.0,16.8,1.2,0.447,14.8,6.8,0.424,5.517,0.97,-0.563,15.553341685166773,4802864.562,882135.438"
"D'Angelo Russell,DAL,G,5685000,0.514,105.0,0.287,101.0,29.8,4.3,0.1,112.0,0.707,58.0,21.0,20.3,100.5,15.6,13.9,18.2,11.2,2.6,0.4,17.9,2.1,0.51,27.4,9.9,0.473,9.68,1.703,-0.175,15.553341685166773,6171937.153,-486937.153"
"Tari Eason,HOU,F,5675766,0.476,42.0,0.509,53.0,24.6,1.6,0.5,108.0,0.714,7.0,11.0,23.2,121.7,13.1,16.6,18.3,11.5,5.2,0.8,16.6,1.7,0.642,18.8,7.9,0.637,7.378,1.3,-0.39,15.551716090196601,5372782.073,302983.927"
"Haywood Highsmith,BRK,INACTIVE,5616000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,15.541130224687784,3444933.285,2171066.715"
"Nicolas Batum,LAC,G-F,5601600,0.4,5.0,0.378,90.0,37.0,0.8,0.4,112.4,0.857,7.0,25.0,19.7,107.5,5.3,7.2,8.0,4.5,2.8,0.8,15.9,0.7,0.571,10.3,4.4,0.558,8.864,1.582,-0.251,15.538562829182538,5875946.98,-274346.98"
"Jett Howard,ORL,G,5529720,0.56,25.0,0.37,46.0,22.2,0.7,0.2,110.8,1.0,5.0,16.0,10.2,122.4,5.9,6.4,7.1,5.3,1.1,0.1,2.7,0.1,0.574,19.2,6.3,0.556,3.114,0.563,-0.787,15.525647739305237,4155681.136,1374038.864"
"Guerschon Yabusele,NYK,F,5500000,0.619,21.0,0.295,44.0,30.0,0.4,0.2,105.7,0.6,10.0,23.0,10.0,113.3,3.5,5.3,5.7,3.1,2.2,0.1,9.7,0.3,0.512,13.9,5.6,0.5,3.619,0.658,-0.74,15.520258650202699,4284157.013,1215842.987"
"Matas Buzelis,CHI,F,5455560,0.573,150.0,0.324,108.0,21.2,1.6,1.4,111.6,0.818,66.0,24.0,28.4,106.4,15.4,19.3,20.8,13.8,5.5,0.8,15.7,2.0,0.577,20.5,7.0,0.537,19.943,3.655,0.781,15.512145830092148,11452256.154,-5996696.154"
"Noa Essengue,CHI,F,5429520,0.0,1.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,20.8,0.0,0.0,0.006,0.001,-1.077,15.507361290212748,3446133.673,1983386.327"
"Dario Saric,SAC,F-C,5426400,0.0,3.0,0.5,2.0,31.7,0.7,0.0,126.6,1.0,2.0,3.0,9.2,97.5,2.3,3.3,4.0,1.7,1.7,0.0,15.5,0.3,0.425,10.6,5.5,0.3,0.229,0.042,-1.056,15.506786488614006,3492685.073,1933714.927"
"Kris Dunn,LAC,G,5426400,0.571,91.0,0.354,65.0,31.7,2.8,0.2,114.0,0.741,27.0,25.0,26.3,114.4,10.6,10.4,13.3,7.7,2.7,1.7,17.0,1.3,0.575,13.3,5.9,0.554,16.017,2.952,0.415,15.506786488614006,9040304.347,-3613904.347"
"Dalen Terry,CHI,F,5399118,0.625,24.0,0.214,14.0,23.4,1.4,0.3,109.9,0.429,7.0,14.0,11.3,104.5,4.4,4.8,6.2,3.0,1.8,0.8,20.8,0.7,0.511,13.4,6.9,0.513,2.472,0.458,-0.847,15.501746164860828,3998126.485,1400991.515"
"Bradley Beal,LAC,G,59020270,0.379,29.0,0.368,19.0,32.5,1.7,0.0,114.5,0.75,8.0,6.0,20.2,91.4,9.8,9.0,10.7,8.2,0.8,0.5,15.7,1.5,0.476,22.0,4.4,0.448,1.789,0.03,-0.911,17.893391502189036,3836890.436,55183379.564"
"Paul Reed,DET,F,5335894,0.681,69.0,0.462,13.0,26.5,1.2,0.7,97.5,0.6,20.0,19.0,11.6,128.1,7.7,11.1,12.2,6.5,4.5,0.8,19.6,1.1,0.683,20.5,11.3,0.683,5.939,1.113,-0.524,15.489967001312817,4926459.138,409434.862"
"Dereck Lively II,DAL,C,5253360,0.611,18.0,0.0,0.0,21.8,1.9,1.6,96.1,0.8,10.0,7.0,16.5,121.9,6.1,9.6,11.4,4.3,5.3,0.6,35.3,1.4,0.67,11.9,8.5,0.611,2.994,0.57,-0.799,15.474378429855147,4125699.476,1127660.524"
"Nikola Topic,OKC,INACTIVE,5182920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.078,15.46087916197651,3444933.285,1737986.715"
"Derik Queen,NOP,C,5157960,0.534,234.0,0.111,18.0,21.0,4.0,0.8,109.7,0.798,104.0,26.0,25.3,114.1,17.0,19.4,23.4,13.0,6.3,1.0,18.4,2.2,0.569,22.6,10.9,0.508,20.964,4.064,0.876,15.45605171044958,12178975.124,-7021015.124"
"Kevin Porter Jr.,MIL,G-F,5134000,0.54,50.0,0.595,37.0,25.6,6.9,0.3,113.2,0.906,32.0,7.0,29.3,138.7,28.1,25.7,32.6,21.3,4.4,2.0,16.3,2.4,0.737,25.4,11.8,0.69,9.654,1.88,-0.178,15.451395640413223,6162155.558,-1028155.558"
"Marcus Smart,LAL,G,26720855,0.643,42.0,0.312,77.0,31.8,2.8,0.3,109.2,0.938,32.0,15.0,26.9,110.9,13.2,12.7,15.5,10.4,2.3,1.6,19.0,1.9,0.586,17.3,6.0,0.529,10.253,0.384,-0.122,17.100954904623773,6388641.008,20332213.992"
